Episodio,Score,Passos
1,-82.80798611111095,140
2,-75.66187500000007,134
3,-176.90797883218727,271
4,-81.2989331715543,295
5,-126.17171703325728,80
6,-62.51749999999973,336
7,-88.07664163346664,383
8,196.18255073629052,603
9,166.76775462962956,361
10,-86.73279333302932,166
11,181.33011026515703,600
12,-71.74312500000009,134
1,-28.101679981774666,488
2,-82.80798611111095,140
3,-89.43556659399066,186
4,-183.90135126774928,379
5,-194.01454438672303,331
6,-133.06928986642103,312
7,-94.28439633322319,664
8,-92.5798784444178,315
9,168.8062963131274,336
10,183.69243848308435,521
11,-82.80798611111095,140
12,-82.80798611111095,140
1,-79.47750000000003,134
1,216.09829499421113,580
1,206.14272842970206,755
1,201.59237034641728,527
2,-86.54076083461317,133
3,-115.16882606218991,260
4,-60.84284722222234,172
5,-68.09888736572435,171
6,-48.247929551645306,263
7,-94.87947604645385,349
8,-95.53901748342369,303
9,-95.30618537951662,184
1,-53.60664367869351,264
2,158.44866169141892,281
