Episodio,Score,Passos
0,1,36
1,0,15
2,0,15
3,0,15
4,0,12
5,0,18
6,1,36
7,0,12
8,1,36
9,0,15
10,0,12
11,0,12
12,1,36
13,2,61
14,2,60
15,0,15
16,0,15
17,0,12
18,1,36
19,0,12
20,0,15
21,0,12
22,0,12
23,0,12
24,6,78
25,0,12
26,0,12
27,0,12
28,1,43
29,1,36
30,1,36
31,0,12
32,0,12
33,1,36
34,0,15
35,0,12
36,1,36
37,1,36
38,0,12
39,0,15
40,0,15
41,0,12
42,0,12
43,0,12
44,0,15
45,1,37
46,2,60
47,1,36
48,0,12
49,0,12
50,0,12
51,0,12
52,0,12
53,0,12
54,1,36
55,1,36
56,1,36
57,1,36
58,0,12
59,1,36
60,0,15
61,0,15
62,0,15
63,1,37
64,1,37
65,1,36
66,0,12
67,1,36
68,1,37
69,0,12
70,1,36
71,1,43
72,1,36
73,0,12
74,0,12
75,1,36
76,1,36
77,1,36
78,0,15
79,1,37
80,0,15
81,0,15
82,0,15
83,0,15
84,0,12
85,1,36
86,1,36
87,0,12
88,0,12
89,0,12
90,0,12
91,1,36
92,0,15
93,0,12
94,0,15
95,0,12
96,1,36
97,1,37
98,0,15
99,0,12
100,0,12
101,0,12
102,0,12
103,0,15
104,0,12
105,1,36
106,0,15
107,0,12
108,0,12
109,0,12
110,0,12
111,1,37
112,0,15
113,0,15
114,0,12
115,0,15
116,0,12
117,0,15
118,0,12
119,23,71
120,0,12
121,0,12
122,2,71
123,0,12
124,0,12
125,0,15
126,0,15
127,0,15
128,0,12
129,0,15
130,0,12
131,0,12
132,0,12
133,0,15
134,0,15
135,0,15
136,0,12
137,0,12
138,0,12
139,0,15
140,0,15
141,23,71
142,0,15
143,1,37
144,1,37
145,0,12
146,0,15
147,0,15
148,0,15
149,0,12
150,2,61
151,1,36
152,1,36
153,2,61
154,0,12
155,0,12
156,0,12
157,0,12
158,1,36
159,0,15
160,0,12
161,0,12
162,0,15
163,0,15
164,0,12
165,1,37
166,0,12
167,0,12
168,0,12
169,0,15
170,0,12
171,0,12
172,1,45
173,1,36
174,1,36
175,0,18
176,0,15
177,0,12
178,0,15
179,0,15
180,0,15
181,0,15
182,0,15
183,0,18
184,1,36
185,0,15
186,0,15
187,0,12
188,1,36
189,1,36
190,0,12
191,0,15
192,1,36
193,1,36
194,0,12
195,0,12
196,0,12
197,1,36
198,0,12
199,0,12
200,0,15
201,0,15
202,1,36
203,0,12
204,0,12
205,0,15
206,0,12
207,0,15
208,0,12
209,0,15
210,0,12
211,0,15
212,0,15
213,1,36
214,0,15
215,0,12
216,0,12
217,0,12
218,0,12
219,0,12
220,0,15
221,0,12
222,2,62
223,0,12
224,1,43
225,0,12
226,1,36
227,0,15
228,0,12
229,0,12
230,0,15
231,0,12
232,0,15
233,0,15
234,1,36
235,1,36
236,0,12
237,0,12
238,0,12
239,0,15
240,2,60
241,0,15
242,0,15
243,0,12
244,0,15
245,0,12
246,1,36
247,1,36
248,0,15
249,0,12
250,0,15
251,0,15
252,1,36
253,0,12
254,0,12
255,0,15
256,0,12
257,0,12
258,0,12
259,0,12
260,0,15
261,0,15
262,0,15
263,1,36
264,0,15
265,1,36
266,0,12
267,0,15
268,1,36
269,0,12
270,1,36
271,1,36
272,0,15
273,0,15
274,0,12
275,1,36
276,1,37
277,0,12
278,2,60
279,0,15
280,0,12
281,2,60
282,1,36
283,0,15
284,0,12
285,0,15
286,2,64
287,3,84
288,0,15
289,0,15
290,1,36
291,1,36
292,1,36
293,2,72
294,0,12
295,0,18
296,0,15
297,0,15
298,1,43
299,0,15
300,1,36
301,0,18
302,0,12
303,0,15
304,0,15
305,0,12
306,0,15
307,0,12
308,0,12
309,0,12
310,0,12
311,0,18
312,1,36
313,0,15
314,0,12
315,1,36
316,0,15
317,0,15
318,1,36
319,1,36
320,1,36
321,1,45
322,0,15
323,0,18
324,0,15
325,0,15
326,0,15
327,0,15
328,1,36
329,0,12
330,0,12
331,0,12
332,0,12
