Episodio,Score,Passos
0,0,48
1,1,143
2,0,57
3,0,57
4,0,48
5,6,270
6,0,48
7,1,143
8,0,48
9,0,48
10,0,48
11,0,48
12,0,48
13,0,48
14,0,48
15,0,57
16,0,48
17,1,143
18,0,48
19,0,57
20,0,57
21,0,48
22,0,48
23,1,143
24,0,48
25,1,143
26,0,57
27,2,241
28,0,57
29,1,143
30,0,48
31,1,143
32,0,57
33,0,48
34,1,143
35,0,48
36,5,174
37,0,57
38,0,48
39,1,146
40,0,57
41,0,48
42,0,48
43,0,48
44,1,143
45,2,252
46,1,147
47,0,48
48,1,143
49,0,57
50,0,48
51,0,57
52,2,239
53,1,143
54,0,48
55,0,48
56,1,143
57,0,57
58,0,57
59,1,143
60,0,57
61,0,57
62,1,171
63,1,143
64,1,143
65,1,143
66,0,48
67,0,48
68,0,48
69,0,57
70,1,143
71,0,48
72,1,145
73,0,57
74,2,252
75,0,57
76,0,48
77,2,284
78,0,48
79,0,57
80,0,48
81,0,48
82,0,48
83,0,48
84,0,57
85,0,48
86,1,143
87,2,240
88,1,143
89,2,242
90,0,48
91,0,48
92,0,48
93,1,143
94,0,57
95,2,239
96,1,144
97,0,57
98,0,57
99,0,48
100,0,48
101,0,48
102,0,48
103,0,48
104,0,57
105,0,48
106,1,143
107,0,57
108,1,143
109,1,147
110,1,143
111,1,143
112,1,143
113,0,48
114,0,57
115,0,48
116,1,171
117,1,143
118,0,48
119,3,339
120,0,48
121,1,143
122,0,48
123,1,171
124,0,48
125,1,143
126,1,146
127,0,48
128,0,57
129,0,57
130,0,57
131,0,48
132,0,48
133,0,48
134,1,143
135,1,143
136,0,57
137,1,143
138,1,143
139,0,57
140,1,143
141,0,48
142,0,48
143,2,239
144,0,48
145,0,57
146,1,172
147,0,57
148,2,289
149,1,143
150,1,143
151,0,48
152,0,57
153,3,406
154,5,174
155,0,48
156,0,48
157,0,57
158,0,57
159,0,48
160,3,335
161,0,57
162,1,145
163,0,48
164,0,48
165,0,57
166,0,57
167,0,48
168,1,145
169,0,48
170,1,146
171,1,143
172,3,335
173,0,57
174,0,48
175,0,57
176,1,143
177,0,48
178,0,48
179,0,48
180,0,48
181,0,48
182,0,57
183,0,48
184,1,143
185,1,171
186,0,57
187,2,239
188,0,48
189,1,143
190,0,48
191,0,57
192,0,48
193,2,241
194,0,48
195,1,143
196,0,57
197,0,48
198,0,48
199,0,48
200,0,48
201,2,239
202,0,48
203,0,57
204,0,48
205,0,48
206,0,48
207,0,57
208,0,57
209,0,48
210,0,48
211,1,179
212,1,146
213,0,57
214,0,57
215,1,147
216,1,143
217,0,48
218,1,143
219,0,57
220,0,48
221,1,143
222,0,57
223,0,48
224,1,171
225,0,57
226,0,48
227,1,371
228,0,48
229,2,299
230,1,143
231,0,57
232,1,143
233,0,48
234,2,239
235,1,171
236,1,143
237,1,171
238,2,239
