Episodio,Score,Passos
0,-8.5,80
1,3.0,38
2,-16.0,103
3,-9.0,55
4,-15.0,17
5,-15.0,33
6,-13.5,30
7,3.0,20
8,-12.5,22
9,-14.5,46
10,-8.5,38
11,-11.0,43
12,-4.0,27
13,8.0,47
14,-14.0,41
15,0.0,30
16,-11.5,42
17,-6.5,12
18,-5.5,41
19,-2.5,21
20,4.5,35
21,-4.5,95
22,2.0,50
23,15.5,38
24,-8.0,25
25,-11.0,103
26,-15.0,13
27,-0.5,47
28,-6.5,14
29,12.5,168
30,1.0,18
31,-7.0,21
32,-7.5,12
33,1.5,23
34,8.0,75
35,2.5,97
36,-6.0,15
37,13.0,35
38,-9.5,40
39,-3.5,50
40,-12.5,48
41,29.5,69
42,1.5,35
43,-7.5,44
44,-14.0,19
45,-8.0,71
46,-12.0,29
47,-3.0,26
48,-5.5,32
49,8.0,60
50,11.5,30
51,-5.0,17
52,-5.5,24
53,-13.5,12
54,14.0,27
55,-15.5,64
56,-6.5,36
57,-12.0,43
58,-12.5,32
59,4.5,49
60,2.0,28
61,-7.0,21
62,-6.5,34
63,-0.5,39
64,0.0,154
65,-9.0,57
66,11.5,90
67,-9.0,19
68,21.5,74
69,1.5,55
70,-5.5,40
71,5.5,21
72,6.0,54
73,0.0,18
74,-12.0,23
75,9.0,38
76,18.0,49
77,-13.5,24
78,16.5,38
79,3.5,15
80,-8.5,28
81,-7.5,20
82,-8.5,40
83,13.5,90
84,7.5,47
85,-9.0,19
86,3.5,35
87,-8.5,32
88,2.0,34
89,2.0,40
90,18.0,73
91,-5.0,33
92,-7.5,12
93,3.5,59
94,-6.0,23
95,20.5,106
96,24.0,50
97,17.5,60
98,7.5,85
99,-6.0,29
100,4.5,51
101,14.5,48
102,8.5,85
103,-8.0,43
104,13.0,19
105,-6.0,25
106,-5.5,46
107,-13.5,52
108,14.0,33
109,18.5,78
110,15.5,64
111,-5.5,34
112,-5.5,16
113,6.0,88
114,25.0,109
115,34.5,83
116,5.5,37
117,4.0,18
118,14.5,36
119,-6.0,39
120,0.5,35
121,-6.0,31
122,4.0,66
123,-5.5,20
124,39.0,60
125,-11.5,24
126,32.0,114
127,9.5,16
128,14.0,15
129,4.0,38
130,-5.0,19
131,2.0,38
132,-9.0,21
133,-9.5,18
134,-8.5,14
135,5.5,85
136,9.5,57
137,14.0,19
138,-9.0,27
139,16.0,47
140,7.5,61
141,1.5,21
142,-6.5,36
143,-4.5,12
144,-7.0,43
145,-12.0,59
146,-6.5,18
147,14.5,72
148,0.5,41
149,-4.0,19
150,32.0,78
151,-7.5,32
152,20.5,48
153,7.0,24
154,-5.5,22
155,15.5,46
156,23.5,92
157,20.5,54
158,5.0,14
159,4.0,34
160,-8.5,14
161,28.0,42
162,-9.5,16
163,-6.5,14
164,19.0,39
165,19.0,65
166,-0.5,35
167,6.5,33
168,4.0,24
169,18.0,35
170,-5.5,28
171,5.0,16
172,5.0,30
173,48.5,65
174,3.0,18
175,-4.0,27
176,14.0,21
177,14.0,35
178,-5.0,21
179,43.5,87
180,60.5,89
181,33.0,64
182,-6.0,21
183,35.5,79
184,14.5,34
185,5.5,13
186,-4.5,32
187,8.5,47
188,2.5,11
189,28.0,26
190,9.0,64
191,14.5,14
192,-4.5,20
193,-5.5,14
194,13.5,22
195,5.5,25
196,6.0,26
197,-8.0,43
198,33.5,95
199,22.0,83
200,26.5,25
201,4.5,19
202,9.0,32
203,24.5,53
204,15.0,17
205,-6.5,14
206,-8.5,12
207,21.5,44
208,-5.5,18
209,-7.0,17
210,4.0,10
211,-4.5,40
212,6.0,24
213,6.0,52
214,30.0,66
215,5.5,17
216,56.0,105
217,51.0,69
218,39.0,71
219,-6.0,15
220,52.5,90
221,-6.0,37
222,-9.5,26
223,-6.0,11
224,-7.5,12
225,3.5,35
226,4.0,16
227,4.5,15
228,8.5,27
229,1.5,13
230,15.0,15
231,17.5,30
232,21.5,44
233,29.5,55
234,45.5,60
235,-6.5,36
236,4.5,25
237,6.0,38
238,46.0,63
239,16.5,38
240,31.5,49
241,-5.5,28
242,18.5,76
243,50.5,84
244,33.0,56
245,9.5,33
246,3.5,23
247,1.0,30
248,5.0,36
249,35.5,69
250,-6.5,14
251,-5.0,25
252,38.0,55
253,5.5,29
254,27.5,76
255,2.5,17
256,22.5,40
257,27.5,106
258,11.5,55
259,4.0,24
260,-8.5,20
261,-4.5,12
262,22.5,70
263,-6.0,13
264,3.5,29
265,-6.0,11
266,6.0,32
267,12.0,33
268,-5.5,22
269,-8.5,18
270,58.0,101
271,33.0,54
272,6.0,36
273,4.5,15
274,31.0,55
275,31.0,48
276,-6.5,10
277,30.5,67
278,-4.5,14
279,39.0,58
280,37.0,60
281,19.5,54
282,52.5,74
283,33.5,53
284,-8.0,23
285,26.5,62
286,-6.0,13
287,30.0,54
288,23.0,18
289,5.5,19
290,-7.5,18
291,23.0,37
292,10.5,41
293,-4.0,15
294,24.5,21
295,6.0,20
296,62.0,92
297,20.5,46
298,-5.0,35
299,35.5,77
300,21.0,57
301,8.5,27
302,67.5,60
303,20.5,38
304,82.5,120
305,39.0,64
306,81.0,105
307,63.5,48
308,35.5,59
309,36.0,44
310,6.5,23
311,-5.5,22
312,-7.0,13
313,-4.0,19
314,-5.0,21
315,44.5,52
316,18.5,38
317,86.5,115
318,25.0,40
319,37.0,98
320,10.5,47
321,18.0,27
322,6.5,23
323,9.0,36
324,-7.0,19
325,3.0,20
326,-6.5,8
327,3.5,11
328,34.5,67
329,81.0,99
330,15.0,33
331,-5.5,16
332,12.5,37
333,44.5,77
334,-5.0,23
335,62.0,70
336,19.0,31
337,3.0,16
338,50.0,40
339,17.5,22
340,42.5,73
341,-4.5,14
342,25.0,41
343,12.5,16
344,65.0,98
345,30.0,38
346,-6.0,15
347,46.0,69
348,74.0,111
349,4.5,21
350,30.0,30
351,41.0,39
352,23.0,45
353,76.0,104
354,58.0,56
355,-3.5,14
356,39.5,85
357,25.0,61
358,38.0,62
359,57.0,87
360,85.5,77
361,42.5,73
362,42.5,69
363,21.0,39
364,41.0,37
365,5.0,22
366,8.0,22
367,44.5,66
368,15.0,23
369,91.5,99
370,-8.5,16
371,72.5,91
372,6.5,43
373,5.5,17
374,84.5,112
375,56.5,65
376,27.0,47
377,39.0,70
378,5.5,17
379,55.0,81
380,21.5,30
381,69.5,75
382,90.0,86
383,6.0,16
384,152.0,160
385,47.0,53
386,31.5,51
387,50.5,56
388,-7.0,13
389,54.5,76
390,-5.0,19
391,28.5,72
392,30.0,77
393,46.0,51
394,23.5,40
395,-4.0,13
396,15.0,21
397,24.0,31
398,28.5,68
399,81.0,125
400,118.5,117
401,6.0,18
402,30.5,35
403,83.0,113
404,12.5,39
