Episodio,Score,Passos
0,5,1800
1,3,1800
2,0,1800
3,1,1800
4,1,1800
5,2,1800
6,3,1800
7,4,1800
8,4,1800
9,1,1800
10,5,1800
11,6,1800
12,7,1800
13,2,1800
14,2,1800
15,2,1800
16,2,1800
17,5,1800
18,7,1800
19,4,1800
20,8,1800
21,5,1800
22,2,1800
23,5,1800
24,9,1800
25,6,1800
26,8,1800
27,6,1800
28,2,1800
29,3,1800
30,4,1800
31,2,1800
32,3,1800
33,3,1800
34,7,1800
35,3,1800
36,5,1800
37,4,1800
38,5,1800
39,7,1800
40,5,1800
41,1,1800
42,7,1800
43,0,1800
44,4,1800
45,7,1800
46,6,1800
47,2,1800
48,6,1800
49,6,1800
50,4,1800
51,7,1800
52,5,1800
53,12,1800
54,7,1800
55,8,1800
56,6,1800
57,8,1800
58,4,1800
59,9,1800
60,6,1800
61,5,1800
62,5,1800
63,1,1800
64,7,1800
65,7,1800
66,3,1800
67,2,1800
68,6,1800
69,7,1800
70,7,1800
71,3,1800
72,8,1800
73,2,1800
74,6,1800
75,5,1800
76,4,1800
77,11,1800
78,3,1800
79,7,1800
80,5,1800
81,15,1800
82,5,1800
83,8,1800
84,4,1800
85,8,1800
86,5,1800
87,9,1800
88,6,1800
89,3,1800
90,6,1800
91,5,1800
92,3,1800
93,7,1800
94,7,1800
95,10,1800
96,6,1800
97,9,1800
98,7,1800
99,11,1800
100,13,1800
101,9,1800
102,3,1800
103,3,1800
104,8,1800
105,5,1800
106,7,1800
107,5,1800
108,7,1800
109,3,1800
110,5,1800
111,7,1800
112,8,1800
113,5,1800
114,6,1800
115,10,1800
116,5,1800
117,9,1800
118,5,1800
119,6,1800
120,4,1800
121,6,1800
122,9,1800
123,7,1800
124,5,1800
125,8,1800
126,11,1800
127,7,1800
128,8,1800
129,6,1800
130,7,1800
131,4,1800
132,7,1800
133,6,1800
134,3,1800
135,10,1800
136,8,1800
137,6,1800
138,13,1800
139,7,1800
140,14,1800
141,7,1800
142,11,1800
143,3,1800
144,6,1800
145,11,1800
146,5,1800
147,9,1800
148,10,1800
149,4,1800
150,13,1800
151,7,1800
152,8,1800
153,6,1800
154,7,1800
155,10,1800
156,11,1800
157,8,1800
158,6,1800
159,8,1800
160,5,1800
161,9,1800
162,7,1800
163,8,1800
164,7,1800
165,10,1800
166,6,1800
167,10,1800
168,8,1800
169,5,1800
170,5,1800
171,9,1800
172,8,1800
173,9,1800
174,8,1800
175,8,1800
176,11,1800
177,7,1800
178,6,1800
179,11,1800
180,11,1800
181,12,1800
182,11,1800
183,10,1800
184,11,1800
185,7,1800
186,5,1800
187,5,1800
188,10,1800
189,10,1800
190,11,1800
191,9,1800
192,11,1800
193,6,1800
194,15,1800
195,6,1800
196,8,1800
197,8,1800
198,15,1800
199,9,1800
200,7,1800
201,6,1800
202,9,1800
203,12,1800
204,9,1800
205,13,1800
206,11,1800
207,14,1800
208,10,1800
209,8,1800
210,10,1800
211,17,1800
212,14,1800
213,12,1800
214,6,1800
215,10,1800
216,13,1800
217,11,1800
218,6,1800
219,10,1800
220,12,1800
221,12,1800
222,16,1800
223,10,1800
224,9,1800
225,16,1800
226,16,1800
227,11,1800
228,11,1800
229,12,1800
230,15,1800
231,15,1800
232,6,1800
233,15,1800
234,14,1800
235,17,1800
236,10,1800
237,11,1800
238,10,1800
239,9,1800
240,14,1800
241,8,1800
242,12,1800
243,11,1800
244,16,1800
245,11,1800
246,16,1800
247,14,1800
248,12,1800
249,11,1800
250,13,1800
251,13,1800
252,12,1800
253,9,1800
254,11,1800
255,16,1800
256,11,1800
257,16,1800
258,16,1800
259,15,1800
260,20,1800
261,16,1800
262,15,1800
263,17,1800
264,11,1800
265,17,1800
266,14,1800
267,16,1800
268,14,1800
269,20,1800
270,16,1800
271,17,1800
272,18,1800
273,18,1800
274,14,1800
275,19,1800
276,19,1800
277,16,1800
278,14,1800
279,12,1800
280,14,1800
281,18,1800
282,21,1800
283,18,1800
284,18,1800
285,19,1800
286,16,1800
287,17,1800
288,16,1800
289,15,1800
290,18,1800
291,14,1800
292,11,1800
293,23,1800
294,25,1800
295,21,1800
296,11,1800
297,18,1800
298,17,1800
299,24,1800
300,16,1800
301,24,1800
302,19,1800
303,15,1800
304,22,1800
305,23,1800
306,19,1800
307,20,1800
308,17,1800
309,23,1800
310,24,1800
311,18,1800
312,19,1800
313,19,1800
314,15,1800
315,25,1800
316,20,1800
317,22,1800
318,21,1800
319,22,1800
320,25,1800
321,16,1800
322,27,1800
323,17,1800
324,20,1800
325,24,1800
326,17,1800
327,23,1800
328,17,1800
329,19,1800
330,19,1800
331,20,1800
332,20,1800
333,20,1800
334,23,1800
335,15,1800
336,22,1800
337,21,1800
338,24,1800
339,21,1800
340,17,1800
341,18,1800
342,24,1800
343,20,1800
344,25,1800
345,20,1800
346,15,1800
347,23,1800
348,21,1800
349,22,1800
350,25,1800
351,25,1800
352,21,1800
353,19,1800
354,11,1800
355,22,1800
356,22,1800
357,23,1800
358,24,1800
359,18,1800
360,20,1800
361,17,1800
362,22,1800
363,18,1800
364,24,1800
365,24,1800
366,25,1800
367,19,1800
368,27,1800
369,26,1800
370,25,1800
371,24,1800
372,28,1800
373,25,1800
374,25,1800
375,22,1800
376,25,1800
377,28,1800
378,26,1800
379,26,1800
380,27,1800
381,23,1800
382,22,1800
383,25,1800
384,24,1800
385,20,1800
386,27,1800
387,26,1800
388,23,1800
389,19,1800
390,21,1800
391,24,1800
392,30,1800
393,28,1800
394,26,1800
395,24,1800
396,19,1800
397,23,1800
398,23,1800
399,24,1800
400,26,1800
401,26,1800
402,26,1800
403,21,1800
404,23,1800
405,24,1800
406,22,1800
407,29,1800
408,22,1800
409,28,1800
410,28,1800
411,25,1800
412,22,1800
413,18,1800
414,18,1800
415,27,1800
416,23,1800
417,19,1800
418,22,1800
419,28,1800
420,29,1800
421,24,1800
422,23,1800
423,24,1800
424,24,1800
425,25,1800
426,20,1800
427,24,1800
428,22,1800
429,25,1800
430,24,1800
431,28,1800
432,26,1800
433,22,1800
434,20,1800
435,23,1800
436,22,1800
437,27,1800
438,24,1800
439,24,1800
440,23,1800
441,26,1800
442,21,1800
443,18,1800
444,23,1800
445,19,1800
446,20,1800
447,22,1800
448,18,1800
449,24,1800
450,24,1800
451,19,1800
452,21,1800
453,27,1800
454,25,1800
455,16,1800
456,25,1800
457,22,1800
458,16,1800
459,21,1800
460,25,1800
461,13,1800
462,24,1800
463,21,1800
464,27,1800
465,26,1800
466,21,1800
467,25,1800
468,17,1800
469,22,1800
470,25,1800
471,23,1800
472,29,1800
473,16,1800
474,19,1800
475,25,1800
476,22,1800
477,19,1800
478,22,1800
479,21,1800
480,18,1800
481,24,1800
482,26,1800
483,20,1800
484,20,1800
485,21,1800
486,24,1800
487,23,1800
488,26,1800
489,23,1800
490,21,1800
491,23,1800
492,23,1800
493,21,1800
494,26,1800
495,23,1800
496,20,1800
