Episodio,Score,Passos
0,5,1800
1,2,1800
2,4,1800
3,1,1800
4,2,1800
5,2,1800
6,4,1800
7,0,1800
8,2,1800
9,8,1800
10,9,1800
11,2,1800
12,4,1800
13,9,1800
14,3,1800
15,2,1800
16,4,1800
17,4,1800
18,5,1800
19,6,1800
20,4,1800
21,4,1800
22,4,1800
23,6,1800
24,5,1800
25,5,1800
26,4,1800
27,2,1800
28,3,1800
29,7,1800
30,8,1800
31,3,1800
32,3,1800
33,2,1800
34,1,1800
35,3,1800
36,5,1800
37,7,1800
38,1,1800
39,3,1800
40,3,1800
41,2,1800
42,3,1800
43,1,1800
44,4,1800
45,4,1800
46,3,1800
47,0,1800
48,2,1800
49,1,1800
50,1,1800
51,3,1800
52,3,1800
53,1,1800
54,4,1800
55,4,1800
56,3,1800
57,4,1800
58,4,1800
59,1,1800
60,6,1800
61,3,1800
62,2,1800
63,4,1800
64,5,1800
65,1,1800
66,8,1800
67,7,1800
68,3,1800
69,4,1800
70,3,1800
71,3,1800
72,4,1800
73,5,1800
74,4,1800
75,5,1800
76,0,1800
77,5,1800
78,3,1800
79,2,1800
80,2,1800
81,2,1800
82,3,1800
83,0,1800
84,1,1800
85,1,1800
86,3,1800
87,2,1800
88,5,1800
89,3,1800
90,4,1800
91,1,1800
92,1,1800
93,4,1800
94,2,1800
95,3,1800
96,6,1800
97,1,1800
98,2,1800
99,3,1800
100,4,1800
101,2,1800
102,3,1800
103,2,1800
104,4,1800
105,0,1800
106,2,1800
107,3,1800
108,3,1800
109,5,1800
110,5,1800
111,3,1800
112,2,1800
113,4,1800
114,1,1800
115,5,1800
116,6,1800
117,1,1800
118,5,1800
119,2,1800
120,4,1800
121,5,1800
122,2,1800
123,3,1800
124,3,1800
125,4,1800
126,0,1800
127,4,1800
128,3,1800
129,3,1800
130,4,1800
131,5,1800
132,1,1800
133,4,1800
134,5,1800
135,5,1800
136,6,1800
137,3,1800
138,2,1800
139,5,1800
140,5,1800
141,4,1800
142,3,1800
