Episodio,Score,Passos
0,0,43
1,0,47
2,0,42
3,0,44
4,0,42
5,0,46
6,0,44
7,0,46
8,0,44
9,0,44
10,0,42
11,0,44
12,0,45
13,0,46
14,0,42
15,0,45
16,0,48
17,0,42
18,0,43
19,0,47
20,0,52
21,0,42
22,0,46
23,0,43
24,0,43
25,0,47
26,0,44
27,0,43
28,0,45
29,0,46
30,0,44
31,0,45
32,0,45
33,0,45
34,0,43
35,0,43
36,0,45
37,0,43
38,0,44
39,0,53
40,0,42
41,0,44
42,0,43
43,0,42
44,0,44
45,0,44
46,0,43
47,0,51
48,0,45
49,0,42
50,0,42
51,0,43
52,0,43
53,0,45
54,0,46
55,0,43
56,0,43
57,0,45
58,0,42
59,0,47
60,0,46
61,0,45
62,0,45
63,0,44
64,0,47
65,0,48
66,0,43
67,0,46
68,0,44
69,0,44
70,0,43
71,0,52
72,0,45
73,0,43
74,0,43
75,0,43
76,0,44
77,0,45
78,0,50
79,0,46
80,0,49
81,0,44
82,0,49
83,0,50
84,0,48
85,0,56
86,0,44
87,0,49
88,0,47
89,0,46
90,0,44
91,0,43
92,0,45
93,0,55
94,0,44
95,0,45
96,0,50
97,0,43
98,0,43
99,0,51
100,0,53
101,0,52
102,0,47
103,0,44
104,0,56
105,0,51
106,0,44
107,0,50
108,0,53
109,0,42
110,0,48
111,0,44
112,0,46
113,0,49
114,0,46
115,0,42
116,0,57
117,0,46
118,0,48
119,0,55
120,0,59
121,0,59
122,0,48
123,0,55
124,0,44
125,0,48
126,0,46
127,0,45
128,0,46
129,0,51
130,0,46
131,0,52
132,0,48
133,0,42
134,0,61
135,0,48
136,0,55
137,0,47
138,0,51
139,0,45
140,0,50
141,0,48
142,0,46
143,0,48
144,0,48
145,0,50
146,0,57
147,0,62
148,0,45
149,0,48
150,0,56
151,0,45
152,0,49
153,0,53
154,0,57
155,0,48
156,0,55
157,0,49
158,0,52
159,0,50
160,0,51
161,0,47
162,0,50
163,0,55
164,0,61
165,0,60
166,0,58
167,0,58
168,0,64
169,0,51
170,0,51
171,0,56
172,0,48
173,0,59
174,0,52
175,0,53
176,0,60
177,0,47
178,0,56
179,0,49
180,0,55
181,0,51
182,0,48
183,0,59
184,0,48
185,0,58
186,0,56
187,0,86
188,0,49
189,0,48
190,0,86
191,0,54
192,0,52
193,0,75
194,0,52
195,0,51
196,0,49
197,0,50
198,0,70
199,0,57
200,0,55
201,0,49
202,0,50
203,0,49
204,0,63
205,0,63
206,0,51
207,0,67
208,0,52
209,0,53
210,0,111
211,0,78
212,0,51
213,0,60
214,0,46
215,0,57
216,0,49
217,0,84
218,0,59
219,0,52
220,0,70
221,0,72
222,0,56
223,0,49
224,0,51
225,0,71
226,0,63
227,0,67
228,0,61
229,0,83
230,0,55
231,0,50
232,0,54
233,0,54
234,0,60
235,0,72
236,0,54
237,0,62
238,0,93
239,0,75
240,0,61
241,0,71
242,0,76
243,0,58
244,0,62
245,0,65
246,0,81
247,0,106
248,0,125
249,0,77
250,0,62
251,0,51
252,0,59
253,0,52
254,0,70
255,0,71
256,0,68
257,0,70
258,0,63
259,0,92
260,0,55
261,0,102
262,0,125
263,0,90
264,0,68
265,0,60
266,0,49
267,0,68
268,0,66
269,0,63
270,0,75
271,0,63
272,0,65
273,0,54
274,0,74
275,0,62
276,0,64
277,0,62
278,0,51
279,0,125
280,0,81
281,0,70
282,0,47
283,0,125
284,0,59
285,0,74
286,0,55
287,0,57
288,0,98
289,0,99
290,0,33
291,0,78
292,0,62
293,0,89
294,0,73
295,0,60
296,0,56
297,0,84
298,0,57
299,0,58
300,0,112
301,0,94
302,0,120
303,0,55
304,0,51
305,0,118
306,0,82
307,0,62
308,0,33
309,0,93
310,0,69
311,0,81
312,0,99
313,0,137
314,0,71
315,0,55
316,0,98
317,0,74
318,0,74
319,0,89
320,0,125
321,0,121
322,0,125
323,0,125
324,0,111
325,0,92
326,0,88
327,0,91
328,1,204
329,0,105
330,0,107
331,0,85
332,0,125
333,0,82
334,0,71
335,0,138
336,0,120
337,0,125
338,0,95
339,0,68
340,0,75
341,0,106
342,0,101
343,0,125
344,1,204
345,0,82
346,0,125
347,0,125
348,0,98
349,0,99
350,0,94
351,0,103
352,0,113
353,0,125
354,0,125
355,0,125
356,0,73
357,0,87
358,0,64
359,0,89
360,0,111
361,0,73
362,0,125
363,0,125
364,0,125
365,0,128
366,0,73
367,0,125
368,0,58
369,0,64
370,0,125
371,0,111
372,0,61
373,0,111
374,0,125
375,0,125
376,0,72
377,0,73
378,0,119
379,0,63
380,1,170
381,0,125
382,0,122
383,0,125
384,3,371
385,0,125
386,0,52
387,0,108
388,0,101
389,0,136
390,0,81
391,0,116
392,0,125
393,0,105
394,0,125
395,0,100
396,0,125
397,0,125
398,0,125
399,0,135
400,0,125
401,0,125
402,0,70
403,0,98
404,0,65
405,0,124
406,0,108
407,0,127
408,0,125
409,0,137
410,1,174
411,0,124
412,0,128
413,0,125
414,0,125
415,0,125
416,0,125
417,0,90
418,0,105
419,0,129
420,0,125
421,0,125
422,0,131
423,0,125
424,0,85
425,0,125
426,0,136
427,1,174
428,0,125
429,0,109
430,0,122
431,0,135
432,0,125
433,0,125
434,0,80
435,0,125
436,0,114
437,1,204
438,0,58
439,0,125
440,0,86
441,0,114
442,0,125
443,0,90
444,0,113
445,0,125
446,0,83
447,0,125
448,1,204
449,0,117
450,0,125
451,0,140
452,0,125
453,0,125
454,0,93
455,0,79
456,0,90
457,0,84
458,0,125
459,0,125
460,0,125
461,1,204
462,0,99
463,1,204
464,0,125
465,0,125
466,0,125
467,0,70
468,0,125
469,2,284
470,0,125
471,0,139
472,0,125
473,0,125
474,1,204
475,1,204
476,0,125
477,1,204
478,0,125
479,0,125
480,0,125
481,0,125
482,0,65
483,0,125
484,0,125
485,0,129
486,0,125
487,0,125
488,0,112
489,0,110
490,0,125
491,0,125
492,0,131
493,0,137
494,0,125
495,0,125
496,2,284
497,0,125
498,0,125
499,0,126
500,0,125
501,0,125
502,0,128
503,1,204
504,0,125
505,0,137
506,0,125
507,0,125
508,2,292
509,0,125
510,0,125
511,1,204
512,0,125
513,0,125
514,0,125
515,0,125
516,0,125
517,1,208
518,0,125
519,1,171
520,0,125
521,0,125
522,0,79
523,0,125
524,0,125
525,1,204
526,0,125
527,0,106
528,0,125
529,1,200
530,0,112
531,0,125
532,0,140
533,0,125
534,0,125
535,0,125
536,0,125
537,0,125
538,0,141
539,0,134
540,0,125
541,0,125
542,0,125
543,0,125
544,0,125
545,0,125
546,0,125
547,0,109
548,0,127
549,0,125
550,0,125
551,0,125
552,0,125
553,0,125
554,0,125
555,0,125
556,0,59
557,0,71
558,0,125
559,0,125
560,0,125
561,0,125
562,0,125
563,0,125
564,0,125
565,0,129
566,0,125
567,0,125
568,0,125
569,0,125
570,0,125
571,0,125
572,0,125
573,0,125
574,0,125
575,0,125
576,0,97
577,0,125
578,0,125
579,0,125
580,0,125
581,0,78
582,0,75
583,0,84
584,1,204
585,0,125
586,0,125
587,0,131
588,0,125
589,0,125
590,1,208
591,0,125
592,0,125
593,0,125
594,0,133
595,3,364
596,1,204
597,1,204
598,0,125
599,0,125
600,0,125
601,0,125
602,0,125
603,0,33
604,0,125
605,0,125
606,0,125
607,0,45
608,0,125
609,0,125
610,0,125
611,0,125
612,0,125
613,0,125
614,0,125
615,0,125
616,0,33
617,0,125
618,1,204
619,0,125
620,0,134
621,1,204
622,0,141
623,0,125
624,0,125
625,0,142
626,0,125
627,0,33
628,0,93
629,0,74
630,0,136
631,0,130
632,0,69
633,0,125
634,0,125
635,0,55
636,1,204
637,1,204
638,0,125
639,0,56
640,0,125
641,0,128
642,0,33
643,0,33
644,0,33
645,0,125
646,0,71
647,0,125
648,0,125
649,1,204
650,1,204
651,0,125
652,0,106
653,0,96
654,1,219
655,0,137
656,0,65
657,0,125
658,0,125
659,0,125
660,0,125
661,0,101
662,0,129
663,0,125
664,0,125
665,0,133
666,0,33
667,1,204
668,0,112
669,0,125
670,0,125
671,0,125
672,0,33
673,0,125
674,0,76
675,0,125
676,0,125
677,0,134
678,0,125
679,0,130
680,0,140
681,0,130
682,0,125
683,0,103
684,0,125
685,0,127
686,0,125
687,0,135
688,0,126
689,0,108
690,0,125
691,0,125
692,0,125
693,0,125
694,0,137
695,3,364
696,0,125
697,0,125
698,1,204
699,0,125
700,0,130
701,0,128
702,0,125
703,0,125
704,0,136
705,1,204
706,1,204
707,0,125
708,0,133
709,1,204
710,1,204
711,0,137
712,0,125
713,0,125
714,1,209
715,3,364
716,0,125
717,0,136
718,0,125
719,1,204
720,1,204
721,0,125
722,0,125
723,0,125
724,1,207
725,0,67
726,0,125
727,0,129
728,0,125
729,0,143
730,0,125
731,0,135
732,0,125
733,0,126
734,0,125
735,0,125
736,1,204
737,0,125
738,0,135
739,0,125
740,0,125
741,2,286
742,2,284
743,0,125
744,0,125
745,1,204
746,0,126
747,0,125
748,0,62
749,0,125
750,1,213
751,2,296
752,2,286
753,0,49
754,0,125
755,1,204
756,1,204
757,0,125
758,0,132
759,0,130
760,0,125
761,0,125
762,1,205
763,0,141
764,0,125
765,0,129
766,1,204
767,0,125
768,1,186
769,0,135
770,0,131
771,0,125
772,0,125
773,0,125
774,0,140
775,0,142
776,0,137
777,0,125
778,0,131
779,2,286
780,1,204
781,0,125
782,0,125
783,0,125
784,1,204
785,0,135
786,0,129
787,1,206
788,1,204
789,2,284
790,1,214
791,0,130
792,0,142
793,0,137
794,5,524
795,0,125
796,0,129
797,2,284
798,0,130
799,0,125
800,1,204
801,0,125
802,0,125
803,0,125
804,1,207
805,0,125
806,1,207
807,0,125
808,1,204
809,0,125
810,1,213
811,0,143
812,1,205
813,0,138
814,0,135
815,3,371
816,0,125
817,4,455
818,0,139
819,1,204
820,3,364
821,1,204
822,1,204
823,0,125
824,1,204
825,0,125
826,1,204
827,2,284
828,0,125
829,3,364
830,1,213
831,0,139
832,1,204
833,0,125
834,0,125
835,0,125
836,0,125
837,0,125
838,4,444
839,0,125
840,2,284
841,2,287
842,2,302
843,0,137
844,0,137
845,5,530
846,0,142
847,1,204
848,0,125
849,1,204
850,1,221
851,0,139
852,0,125
853,3,379
854,0,125
855,2,284
856,2,287
857,1,204
858,1,217
859,1,204
860,1,214
861,0,130
862,3,371
863,1,215
864,1,221
865,1,219
866,0,125
867,0,125
868,0,143
869,1,218
870,0,125
871,2,284
872,1,221
873,0,138
874,7,684
875,0,136
876,0,125
877,0,138
878,2,301
879,2,298
880,1,204
881,4,457
882,5,524
883,0,139
884,0,142
885,0,125
886,0,125
887,2,284
888,0,138
889,0,139
890,1,204
