Episodio,Score,Passos
0,0,51
1,0,44
2,0,46
3,0,44
4,0,45
5,0,48
6,0,43
7,0,44
8,0,46
9,0,48
10,0,51
11,0,49
12,0,45
13,0,47
14,0,51
15,0,51
16,0,48
17,0,45
18,0,43
19,0,50
20,0,43
21,0,47
22,0,43
23,0,46
24,0,45
25,0,45
26,0,43
27,0,44
28,0,53
29,0,56
30,0,46
31,0,45
32,0,48
33,0,44
34,0,49
35,0,47
36,0,44
37,0,49
38,0,65
39,0,44
40,0,45
41,0,44
42,0,45
43,0,46
44,0,50
45,0,47
46,0,59
47,0,44
48,0,55
49,0,44
50,0,46
51,0,46
52,0,48
53,0,50
54,0,43
55,0,47
56,0,46
57,0,49
58,0,44
59,0,49
60,0,47
61,0,45
62,0,48
63,0,43
64,0,49
65,0,46
66,0,44
67,0,47
68,0,47
69,0,48
70,0,45
71,0,47
72,0,44
73,0,46
74,0,47
75,0,48
76,0,50
77,0,44
78,0,47
79,0,46
80,0,46
81,0,48
82,0,48
83,0,46
84,0,49
85,0,45
86,0,43
87,0,44
88,0,43
89,0,44
90,0,49
91,0,45
92,0,43
93,0,44
94,0,47
95,0,45
96,0,45
97,0,47
98,0,44
99,0,47
100,0,45
101,0,49
102,0,48
103,0,46
104,0,47
105,0,49
106,0,51
107,0,52
108,0,51
109,0,47
110,0,47
111,0,47
112,0,44
113,0,57
114,0,45
115,0,43
116,0,43
117,0,53
118,0,45
119,0,47
120,0,48
121,0,52
122,0,47
123,0,52
124,0,47
125,0,45
126,0,45
127,0,49
128,0,53
129,0,50
130,0,45
131,0,45
132,0,54
133,0,48
134,0,46
135,0,44
136,0,46
137,0,46
138,0,46
139,0,45
140,0,49
141,0,43
142,0,47
143,0,59
144,0,45
145,0,55
146,0,52
147,0,46
148,0,45
149,0,49
150,0,47
151,0,44
152,0,44
153,0,48
154,0,48
155,0,54
156,0,45
157,0,48
158,0,46
159,0,46
160,0,44
161,0,42
162,0,49
163,0,47
164,0,51
165,0,51
166,0,48
167,0,44
168,0,49
169,0,44
170,0,48
171,0,45
172,0,45
173,0,47
174,0,44
175,0,47
176,0,56
177,0,49
178,0,53
179,0,48
180,0,53
181,0,50
182,0,63
183,0,46
184,0,43
185,0,47
186,0,46
187,0,51
188,0,44
189,0,49
190,0,47
191,0,43
192,0,50
193,0,50
194,0,53
195,0,47
196,0,46
197,0,47
198,0,47
199,0,46
200,0,54
201,0,45
202,0,46
203,0,45
204,0,44
205,0,45
206,0,46
207,0,44
208,0,47
209,0,46
210,0,48
211,0,51
212,0,47
213,0,52
214,0,46
215,0,45
216,0,44
217,0,47
218,0,56
219,0,49
220,0,48
221,0,49
222,0,50
223,0,47
224,0,48
225,0,50
226,0,48
227,0,45
228,0,58
229,0,48
230,0,49
231,0,57
232,0,49
233,0,54
234,0,44
235,0,46
236,0,53
237,0,49
238,0,46
239,0,55
240,0,48
241,0,50
242,0,53
243,0,55
244,0,47
245,0,49
246,0,58
247,0,45
248,0,70
249,0,59
250,0,55
251,0,54
252,0,54
253,0,55
254,0,46
255,0,51
256,0,52
257,0,53
258,0,51
259,0,55
260,0,86
261,0,50
262,0,47
263,0,49
264,0,49
265,0,64
266,0,66
267,0,55
268,0,49
269,0,59
270,0,52
271,0,54
272,0,52
273,0,64
274,0,56
275,0,46
276,0,59
277,0,63
278,0,51
279,0,57
280,0,54
281,0,54
282,0,53
283,0,64
284,0,57
285,0,52
286,0,52
287,0,54
288,0,55
289,0,80
290,0,67
291,0,68
292,0,62
293,0,50
294,0,53
295,0,81
296,0,57
297,0,79
298,0,53
299,0,70
300,0,69
301,0,90
302,0,53
303,0,58
304,0,49
305,0,58
306,0,81
307,0,62
308,0,55
309,0,69
310,0,75
311,0,73
312,0,62
313,0,69
314,0,52
315,0,57
316,0,60
317,0,69
318,0,70
319,0,71
