Episodio,Reward Direita,Reward Esquerda,Passos
0,4.962638888888891,2.6106944444444458,190
1,4.796527777777779,4.116944444444445,234
2,6.2269444444444435,7.59138888888889,235
3,2.9720833333333347,3.2831944444444447,170
4,3.7181944444444444,3.672222222222223,178
5,57.983757083815874,14.341833692486366,914
6,3.742916666666667,4.1144444444444455,159
7,2.47361111111111,3.406666666666665,164
8,5.824027777777778,2.0506944444444444,185
9,6.841215363701664,26.406620055308178,598
10,3.961805555555556,5.043333333333335,178
11,4.013333333333334,5.184583333333332,213
12,8.056666666666672,6.733611111111114,252
13,4.425416666666669,3.18875,175
14,5.27236111111111,3.795694444444449,171
15,3.6611111111111128,2.5205555555555548,183
16,4.512777777777778,6.109861111111112,228
17,5.525138888888891,5.961111111111114,247
18,2.7466666666666657,3.6233333333333313,177
19,4.674027777777779,2.2175000000000007,169
20,4.100833333333331,3.065277777777778,173
21,2.6125000000000025,4.704166666666669,165
22,4.860972222222224,3.687222222222222,192
23,3.7326388888888893,4.439583333333333,180
24,4.347361111111112,5.399722222222221,201
25,5.167916666666667,7.109305555555558,228
26,4.315,4.5955555555555545,174
27,4.396388888888889,4.742361111111112,230
28,3.003055555555556,4.288333333333332,170
29,4.5123611111111135,4.389722222222222,182
30,3.765833333333335,4.5775000000000015,179
31,4.405277777777778,4.196250000000001,201
32,5.3084722222222185,4.8904166666666695,215
33,3.4999999999999996,3.6516666666666673,180
34,3.861666666666667,5.062361111111108,204
35,3.9969444444444453,3.423888888888891,189
36,5.2927777777777765,3.8525000000000014,175
37,3.5233333333333334,3.453333333333331,164
38,3.9845833333333354,3.3713888888888883,213
39,7.154861111111113,6.863194444444447,247
40,3.671666666666667,6.58722222222222,225
41,3.740277777777778,3.412361111111113,163
42,6.054583333333332,6.067222222222222,207
43,6.2623611111111135,7.137361111111102,249
44,4.60708333333333,5.54875,181
45,4.2079166666666685,4.102777777777778,200
46,3.936944444444445,3.9393055555555563,193
47,5.31944444444444,4.02861111111111,196
48,4.091527777777775,3.4591666666666687,195
49,2.8277777777777793,2.6001388888888877,166
50,6.806527777777779,6.503194444444446,232
51,5.047638888888889,5.411666666666666,210
52,3.394444444444445,3.35013888888889,174
53,5.6526388888888945,3.262361111111113,173
54,2.7593055555555557,3.5759722222222243,181
55,5.995833333333333,4.067638888888892,206
56,3.602777777777777,4.654999999999997,176
57,5.480694444444446,7.000694444444446,226
58,3.6973611111111127,3.56861111111111,183
59,3.571111111111111,3.7248611111111116,210
60,5.430555555555553,5.539999999999998,181
61,5.806843865936873,16.495038310381307,256
62,8.384027777777778,7.4263888888888845,247
63,5.625416666666665,5.423472222222224,172
64,3.0724999999999993,2.8866666666666676,174
65,2.745138888888888,2.645555555555556,179
66,4.184583333333335,2.421388888888889,175
67,5.727638888888892,9.197083333333335,213
68,2.5405555555555552,3.0066666666666673,162
69,4.023749999999999,4.737500000000001,180
70,29.333830829288864,6.00458878547537,666
71,3.9395507986200595,49.69315420480692,610
72,3.2091666666666683,2.587361111111112,184
73,3.0141666666666658,4.22722222222222,183
74,3.015138888888891,3.0402777777777805,207
75,37.988873263893204,4.137109049896003,657
76,3.885277777777778,2.967777777777777,170
77,4.253333333333331,5.210138888888885,164
78,2.3437500000000018,2.5636111111111113,166
79,3.653888888888889,5.131666666666664,215
80,4.149861111111108,5.572777777777776,177
81,3.6000000000000005,3.655000000000001,181
82,2.997361111111113,2.615416666666668,168
83,3.433888888888889,5.005138888888887,202
84,24.973994341802445,-0.3427783312642134,475
85,3.067916666666669,4.080000000000001,181
86,2.45402777777778,3.1955555555555546,162
87,3.297083333333335,1.776527777777778,216
88,5.617222222222225,5.006666666666668,172
89,4.58972222222222,3.904305555555554,207
90,6.865138888888888,6.523194444444448,203
91,3.9619444444444434,4.900138888888886,188
92,5.096944444444444,6.27763888888889,195
93,4.492222222222224,4.793888888888891,197
94,6.058194444444441,5.939861111111113,199
95,4.06222222222222,5.928194444444445,167
96,34.25558810924964,58.182557451988316,562
97,2.7766666666666713,3.385833333333332,175
98,3.765555555555556,4.773055555555559,221
99,3.472500000000002,3.4063888888888902,208
100,4.342777777777777,3.2544444444444474,184
101,3.2420833333333325,3.0638888888888887,170
102,4.014861111111112,5.382777777777777,203
103,5.595555555555557,5.176944444444443,189
104,5.5179166666666655,5.1531944444444475,212
105,3.780555555555554,4.572361111111113,163
106,5.2698611111111155,5.369722222222221,217
107,5.258333333333334,4.813055555555561,193
108,6.459861111111113,7.131527777777774,231
109,3.6809722222222208,4.687916666666662,169
110,7.315555555555563,4.970694444444446,214
111,4.424027777777779,4.2733333333333325,194
112,4.130277777777777,6.667777777777777,210
113,3.5479166666666675,3.5130555555555567,168
114,5.866111111111109,4.2326388888888875,207
115,4.0452777777777795,6.302499999999998,219
116,4.2651388888888935,3.8358333333333325,167
117,4.9856944444444435,4.110833333333333,216
118,3.3441666666666694,3.792500000000001,161
119,3.656666666666665,3.3213888888888916,187
120,5.657500000000002,2.5018055555555554,194
121,4.395555555555556,2.6255555555555548,176
122,3.9600000000000026,3.3341666666666634,176
