Episodio,Score,Passos,Resultado,Pousou,Colisao,Timeout,VelocidadeAngularMedia,VelocidadeAngularMaxima,Epsilon,LossMedia
0,-101.5333,323,crash,0,1,0,0.144756,0.456634,1.0,0.0
1,-146.2962,265,crash,0,1,0,0.413667,1.035375,0.9998,0.0
2,-84.4668,279,crash,0,1,0,0.219961,0.5935,0.9996,0.0
3,-69.001,241,crash,0,1,0,0.166414,0.615123,0.9994,0.0
4,-140.562,273,crash,0,1,0,0.262107,0.734293,0.9992,0.0
5,-135.2175,254,crash,0,1,0,0.233955,0.57395,0.999,0.0
6,-68.1231,212,crash,0,1,0,0.359951,1.100744,0.998801,0.0
7,-82.6259,299,crash,0,1,0,0.148556,0.427608,0.998601,0.336
8,-76.9177,226,crash,0,1,0,0.155893,0.618791,0.998401,0.304719
9,-53.0993,234,crash,0,1,0,0.210238,0.620341,0.998201,0.509763
10,-119.4549,359,crash,0,1,0,0.280871,1.034649,0.998002,0.26582
11,-129.2399,241,crash,0,1,0,0.323128,0.777155,0.997802,0.403932
12,-160.3989,215,crash,0,1,0,0.445397,0.770229,0.997603,0.368978
13,-84.4126,359,crash,0,1,0,0.162984,0.531967,0.997403,0.315245
14,-79.5752,261,crash,0,1,0,0.219785,0.612437,0.997204,0.305994
15,-170.0416,229,crash,0,1,0,0.392809,0.988718,0.997004,0.346054
16,-84.2922,214,crash,0,1,0,0.236285,0.714436,0.996805,0.392282
17,-103.8705,192,crash,0,1,0,0.417185,0.952879,0.996605,0.244645
18,-143.1093,236,crash,0,1,0,0.264576,0.604079,0.996406,0.306474
19,-70.2608,270,crash,0,1,0,0.218518,0.591888,0.996207,0.364352
20,-109.5661,208,crash,0,1,0,0.28178,0.853475,0.996008,0.435238
21,-98.5023,243,crash,0,1,0,0.229012,0.60531,0.995808,0.442718
22,-54.5087,282,crash,0,1,0,0.392105,1.05111,0.995609,0.490581
23,-126.1629,252,crash,0,1,0,0.376584,0.950444,0.99541,0.321109
24,-112.0547,461,crash,0,1,0,0.167946,0.603522,0.995211,0.437792
25,-85.0879,324,crash,0,1,0,0.154651,0.481514,0.995012,0.481856
26,-99.7814,265,crash,0,1,0,0.25559,0.632524,0.994813,0.3497
27,-49.0353,215,crash,0,1,0,0.198919,0.52513,0.994614,0.450381
28,-112.8369,221,crash,0,1,0,0.335662,0.677263,0.994415,0.442657
29,-98.5542,256,crash,0,1,0,0.306202,0.986875,0.994216,0.383636
30,-114.9045,284,crash,0,1,0,0.28834,0.574055,0.994017,0.434001
31,-125.149,305,crash,0,1,0,0.154972,0.677368,0.993819,0.444065
32,-123.7732,254,crash,0,1,0,0.426619,1.149493,0.99362,0.388339
33,-128.3983,259,crash,0,1,0,0.226388,0.584443,0.993421,0.337176
34,-107.8494,203,crash,0,1,0,0.184202,0.556723,0.993222,0.478722
35,-137.5481,197,crash,0,1,0,0.449173,1.030526,0.993024,0.367528
36,-87.7841,178,crash,0,1,0,0.545434,1.124999,0.992825,0.190608
37,-163.4021,301,crash,0,1,0,0.252041,0.652109,0.992627,0.455203
38,-73.5418,363,crash,0,1,0,0.156924,0.495638,0.992428,0.499064
39,-94.8814,234,crash,0,1,0,0.154769,0.4413,0.99223,0.340328
40,-173.0433,290,crash,0,1,0,0.443951,1.137101,0.992031,0.509646
41,-146.7485,247,crash,0,1,0,0.27741,0.630435,0.991833,0.432808
42,-161.7974,238,crash,0,1,0,0.374601,0.963839,0.991634,0.259453
43,-92.0569,221,crash,0,1,0,0.267312,0.668249,0.991436,0.274188
44,-103.3559,318,crash,0,1,0,0.280771,0.80701,0.991238,0.446421
45,-74.229,217,crash,0,1,0,0.147751,0.450374,0.991039,0.248045
46,-119.963,254,crash,0,1,0,0.279757,0.953251,0.990841,0.335156
47,-132.5654,237,crash,0,1,0,0.291816,0.632282,0.990643,0.412673
48,-91.886,291,crash,0,1,0,0.290891,0.800209,0.990445,0.253158
49,-132.5975,251,crash,0,1,0,0.252078,0.921576,0.990247,0.392938
50,-149.6541,248,crash,0,1,0,0.300587,0.785815,0.990049,0.317793
51,-64.5999,268,crash,0,1,0,0.150389,0.553064,0.989851,0.306557
52,-143.4802,245,crash,0,1,0,0.330734,0.923852,0.989653,0.347003
53,-127.4712,212,crash,0,1,0,0.524699,1.003186,0.989455,0.43376
54,-130.2639,336,crash,0,1,0,0.273844,0.713448,0.989257,0.355137
55,-123.1947,227,crash,0,1,0,0.48852,1.052649,0.989059,0.352479
56,-89.0719,203,crash,0,1,0,0.53811,1.062401,0.988861,0.232264
57,-120.2487,324,crash,0,1,0,0.319238,0.842222,0.988664,0.501745
58,-78.7497,264,crash,0,1,0,0.244948,0.555019,0.988466,0.397964
59,-107.9163,229,crash,0,1,0,0.375348,0.794892,0.988268,0.460302
60,-95.087,282,crash,0,1,0,0.338746,0.788841,0.988071,0.437495
61,-159.6114,292,crash,0,1,0,0.296803,0.70352,0.987873,0.480798
62,-140.1218,288,crash,0,1,0,0.232145,0.613713,0.987675,0.263168
63,-82.1124,250,crash,0,1,0,0.220301,0.69181,0.987478,0.581611
64,-100.4456,327,crash,0,1,0,0.129456,0.398093,0.98728,0.362904
65,-87.6285,202,crash,0,1,0,0.217361,0.6249,0.987083,0.485326
66,-142.9968,227,crash,0,1,0,0.430639,0.670157,0.986885,0.437051
67,-143.5383,263,crash,0,1,0,0.255214,0.64296,0.986688,0.35188
68,-138.6395,283,crash,0,1,0,0.148405,0.599812,0.986491,0.346822
69,-71.0061,303,crash,0,1,0,0.123763,0.406568,0.986293,0.471707
70,-145.9365,343,crash,0,1,0,0.166553,0.637952,0.986096,0.420889
71,-90.0705,232,crash,0,1,0,0.368418,0.942953,0.985899,0.402689
72,-98.7532,239,crash,0,1,0,0.206434,0.734601,0.985702,0.36351
73,-172.774,285,crash,0,1,0,0.516622,1.204137,0.985505,0.34959
74,-80.0584,192,crash,0,1,0,0.322238,0.808172,0.985308,0.246436
75,-99.8841,246,crash,0,1,0,0.356263,0.898485,0.98511,0.448899
76,-108.6665,271,crash,0,1,0,0.168446,0.46768,0.984913,0.408116
77,-115.3669,318,crash,0,1,0,0.146673,0.636256,0.984716,0.3546
78,-141.5621,304,crash,0,1,0,0.491422,1.020986,0.98452,0.511537
79,-181.0297,263,crash,0,1,0,0.23183,0.675869,0.984323,0.395227
80,-142.2492,268,crash,0,1,0,0.182637,0.473719,0.984126,0.32177
81,-92.2573,185,crash,0,1,0,0.262551,0.652934,0.983929,0.504161
82,-132.2184,273,crash,0,1,0,0.277392,0.727047,0.983732,0.507643
83,-48.2744,278,crash,0,1,0,0.287573,0.640101,0.983535,0.353075
84,-76.3291,233,crash,0,1,0,0.371916,0.968766,0.983339,0.345008
85,-98.6945,341,crash,0,1,0,0.170705,0.488301,0.983142,0.411982
86,-66.2936,289,crash,0,1,0,0.451276,0.992752,0.982945,0.426633
87,-157.165,244,crash,0,1,0,0.384059,0.91962,0.982749,0.431484
88,-90.651,199,crash,0,1,0,0.317201,0.695796,0.982552,0.593859
89,-76.3774,313,crash,0,1,0,0.160231,0.579293,0.982356,0.277129
90,-127.7602,247,crash,0,1,0,0.310804,0.908398,0.982159,0.376173
91,-159.1445,214,crash,0,1,0,0.354099,0.741265,0.981963,0.374122
92,-134.6142,321,crash,0,1,0,0.196002,0.623653,0.981766,0.293308
93,-72.838,209,crash,0,1,0,0.240803,0.803789,0.98157,0.292449
94,-94.0695,200,crash,0,1,0,0.305795,0.74891,0.981374,0.426582
95,-103.4632,292,crash,0,1,0,0.148232,0.68241,0.981177,0.340318
96,-103.7175,278,crash,0,1,0,0.254073,0.721641,0.980981,0.374194
97,-92.0515,219,crash,0,1,0,0.250298,0.684804,0.980785,0.301428
98,-76.215,279,crash,0,1,0,0.272135,0.895108,0.980589,0.451906
99,-76.3001,263,crash,0,1,0,0.211335,0.615711,0.980393,0.539938
100,-143.108,222,crash,0,1,0,0.280902,0.927615,0.980197,0.49387
101,-80.1659,224,crash,0,1,0,0.300632,0.909542,0.980001,0.46703
102,-124.8338,294,crash,0,1,0,0.151698,0.461256,0.979805,0.411913
