Episodio,Score,Passos
0,-82.00000000000003,180
1,-82.40000000000003,176
2,-22.000000000000014,380
3,-82.70000000000003,173
4,-81.4,186
5,-82.60000000000002,174
6,-81.60000000000002,184
7,-82.40000000000003,176
8,-64.99999999999991,250
9,-67.79999999999995,222
10,-82.40000000000003,176
11,-82.40000000000003,176
12,-82.40000000000003,176
13,-82.60000000000002,174
14,-31.40000000000005,386
15,-82.20000000000002,178
16,-82.40000000000003,176
17,-82.40000000000003,176
18,-82.70000000000003,173
19,-48.199999999999825,318
20,-67.79999999999995,222
21,-36.1999999999998,338
22,-82.70000000000003,173
23,-82.20000000000002,178
24,-81.60000000000002,184
25,-82.40000000000003,176
26,-82.60000000000002,174
27,-82.20000000000002,178
28,-81.80000000000001,182
29,-81.80000000000001,182
30,-82.20000000000002,178
31,-81.60000000000002,184
32,-82.60000000000002,174
33,-39.79999999999985,302
34,-82.00000000000003,180
35,-82.20000000000002,178
36,-82.40000000000003,176
37,-82.70000000000003,173
38,-82.40000000000003,176
39,-50.79999999999986,292
40,-47.399999999999814,326
41,-51.59999999999987,284
42,-81.80000000000001,182
43,-81.4,186
44,-81.4,186
45,-50.49999999999986,295
46,-66.99999999999994,230
47,-82.40000000000003,176
48,-82.20000000000002,178
49,-82.70000000000003,173
50,-64.99999999999991,250
51,-64.69999999999992,253
52,-82.70000000000003,173
53,-82.00000000000003,180
54,68.99999999999821,690
55,-82.40000000000003,176
56,-22.0000000000002,380
57,-38.099999999999824,319
58,-82.40000000000003,176
59,-81.60000000000002,184
60,-81.60000000000002,184
61,-82.40000000000003,176
62,-82.20000000000002,178
63,-38.199999999999825,318
64,-50.999999999999865,290
65,-68.39999999999998,216
66,-82.60000000000002,174
67,-37.399999999999814,326
68,-82.70000000000003,173
69,-35.19999999999983,348
70,-82.60000000000002,174
71,-51.799999999999876,282
72,-82.60000000000002,174
73,-82.70000000000003,173
74,-82.40000000000003,176
75,-82.00000000000003,180
76,-82.70000000000003,173
77,-34.999999999999844,350
78,-82.40000000000003,176
79,-82.70000000000003,173
80,-65.39999999999992,246
81,-68.59999999999997,214
82,-82.70000000000003,173
83,-64.59999999999991,254
84,-82.00000000000003,180
85,-68.09999999999997,219
86,-82.20000000000002,178
87,-82.40000000000003,176
88,-82.60000000000002,174
89,-82.20000000000002,178
90,-68.19999999999996,218
91,-82.60000000000002,174
92,-82.60000000000002,174
93,-51.799999999999876,282
94,-82.40000000000003,176
95,-82.20000000000002,178
96,-82.40000000000003,176
97,-82.20000000000002,178
98,-82.70000000000003,173
99,-82.60000000000002,174
100,-82.20000000000002,178
101,-38.59999999999983,314
102,-82.00000000000003,180
103,-82.70000000000003,173
104,-82.40000000000003,176
105,-82.20000000000002,178
106,-82.40000000000003,176
107,-82.70000000000003,173
108,-1.6000000000006054,484
109,-82.70000000000003,173
110,-82.00000000000003,180
111,-82.20000000000002,178
112,-66.79999999999995,232
113,-82.60000000000002,174
114,-67.99999999999997,220
115,-82.70000000000003,173
116,-64.99999999999991,250
117,-82.40000000000003,176
118,-82.20000000000002,178
119,-82.70000000000003,173
120,-82.40000000000003,176
121,-82.70000000000003,173
122,-81.80000000000001,182
123,-82.70000000000003,173
124,-82.40000000000003,176
125,-81.60000000000002,184
126,-82.40000000000003,176
127,-82.20000000000002,178
128,-82.60000000000002,174
129,-82.60000000000002,174
130,-82.40000000000003,176
131,-82.70000000000003,173
132,-81.60000000000002,184
133,-82.70000000000003,173
134,-67.79999999999995,222
135,-82.70000000000003,173
136,-82.70000000000003,173
137,-82.70000000000003,173
138,-81.80000000000001,182
139,-64.59999999999991,254
140,-82.40000000000003,176
141,-82.20000000000002,178
142,-81.80000000000001,182
143,-82.60000000000002,174
144,-82.60000000000002,174
145,-82.70000000000003,173
146,-82.70000000000003,173
147,-82.70000000000003,173
148,-38.199999999999825,318
149,-65.29999999999993,247
150,-82.40000000000003,176
151,-82.70000000000003,173
152,-82.20000000000002,178
153,-82.40000000000003,176
154,-82.00000000000003,180
155,-82.40000000000003,176
156,-82.40000000000003,176
157,-81.80000000000001,182
158,-63.99999999999991,260
159,-82.40000000000003,176
160,-31.20000000000006,388
161,-82.60000000000002,174
162,-82.60000000000002,174
163,-82.70000000000003,173
164,-82.60000000000002,174
165,-65.39999999999992,246
166,-82.40000000000003,176
167,-82.60000000000002,174
168,-82.60000000000002,174
169,-82.70000000000003,173
170,-82.20000000000002,178
171,-65.19999999999993,248
172,-82.40000000000003,176
173,-82.60000000000002,174
174,-82.40000000000003,176
175,-81.80000000000001,182
176,-51.59999999999987,284
177,-17.400000000000276,426
178,-82.60000000000002,174
179,-82.70000000000003,173
180,-68.19999999999996,218
181,-82.00000000000003,180
182,-82.20000000000002,178
183,-65.19999999999993,248
184,-67.59999999999997,224
185,-82.20000000000002,178
186,-37.59999999999982,324
187,-82.60000000000002,174
188,-82.00000000000003,180
189,-66.69999999999995,233
190,-67.39999999999995,226
191,-82.60000000000002,174
192,52.599999999998516,626
193,-65.29999999999993,247
194,-82.60000000000002,174
195,-6.800000000000367,432
196,-52.19999999999988,278
197,-81.80000000000001,182
198,-20.600000000000165,394
199,-82.70000000000003,173
200,-82.20000000000002,178
201,-2.0000000000005826,480
202,-65.19999999999993,248
203,-82.20000000000002,178
204,-81.60000000000002,184
205,-35.59999999999981,344
206,-66.99999999999994,230
207,-82.60000000000002,174
208,-64.99999999999991,250
209,-68.39999999999998,216
210,-7.900000000000475,421
211,-82.20000000000002,178
212,-82.20000000000002,178
213,-21.200000000000074,388
214,-48.799999999999834,312
215,-49.79999999999985,302
216,-67.99999999999997,220
217,-82.70000000000003,173
218,-82.70000000000003,173
219,-82.40000000000003,176
220,-66.39999999999995,236
221,-64.1999999999999,258
222,-18.600000000000207,414
223,-81.80000000000001,182
224,-33.79999999999991,362
225,69.39999999999813,694
226,-49.89999999999985,301
227,-82.70000000000003,173
228,-82.00000000000003,180
229,-66.39999999999995,236
230,-69.49999999999999,205
231,-82.20000000000002,178
232,-82.20000000000002,178
233,-82.20000000000002,178
234,-64.99999999999991,250
235,-82.70000000000003,173
236,-81.60000000000002,184
237,-65.49999999999993,245
238,-82.20000000000002,178
239,-18.500000000000213,415
240,-6.800000000000438,432
241,-82.20000000000002,178
242,-81.60000000000002,184
243,-82.40000000000003,176
244,-81.80000000000001,182
245,-66.39999999999995,236
246,-2.800000000000537,472
247,-82.70000000000003,173
248,-18.20000000000023,418
249,24.499999999999048,545
250,-81.4,186
251,-66.59999999999994,234
252,-82.70000000000003,173
253,-66.29999999999994,237
254,-34.999999999999844,350
255,-51.19999999999987,288
256,-82.40000000000003,176
257,-49.79999999999985,302
258,-52.399999999999885,276
259,-82.60000000000002,174
260,-20.900000000000077,391
261,-82.60000000000002,174
262,-30.400000000000077,396
263,-66.19999999999993,238
264,-82.40000000000003,176
265,-20.00000000000017,400
266,-82.40000000000003,176
267,-23.40000000000019,366
268,-7.40000000000046,426
269,-82.20000000000002,178
270,-82.70000000000003,173
271,-82.60000000000002,174
272,-39.19999999999984,308
273,-52.399999999999885,276
274,-65.99999999999994,240
275,-67.19999999999996,228
276,-82.20000000000002,178
277,-65.29999999999993,247
278,-68.29999999999997,217
279,-66.99999999999994,230
280,-66.19999999999993,238
281,-51.59999999999987,284
282,-18.600000000000207,414
283,-38.199999999999825,318
284,-20.200000000000117,398
285,-82.20000000000002,178
286,-81.4,186
287,-82.20000000000002,178
288,-82.70000000000003,173
289,-82.60000000000002,174
290,-66.79999999999995,232
291,-22.00000000000007,380
292,-53.6999999999999,263
293,-35.59999999999981,344
294,-66.69999999999995,233
295,-65.99999999999994,240
296,-82.20000000000002,178
297,-38.39999999999983,316
298,-82.70000000000003,173
299,-32.39999999999999,376
300,-24.400000000000148,356
301,-82.70000000000003,173
302,-66.39999999999995,236
303,-66.79999999999995,232
304,-63.799999999999905,262
305,-82.70000000000003,173
306,-82.20000000000002,178
307,-22.40000000000005,376
308,-82.40000000000003,176
309,-66.69999999999995,233
310,-82.60000000000002,174
311,-66.19999999999993,238
312,-66.39999999999995,236
313,-49.79999999999985,302
314,-67.39999999999995,226
315,-67.79999999999995,222
316,-50.79999999999986,292
317,-82.20000000000002,178
318,-66.19999999999993,238
319,-82.00000000000003,180
320,-82.20000000000002,178
321,-81.60000000000002,184
322,-81.60000000000002,184
323,-82.60000000000002,174
324,-82.40000000000003,176
325,-65.39999999999992,246
326,-66.79999999999995,232
