Episodio,Score,Passos
0,-82.40000000000003,176
1,-82.60000000000002,174
2,-82.20000000000002,178
3,-64.59999999999992,249
4,-37.399999999999814,326
5,-41.799999999999876,282
6,-40.59999999999986,294
7,-82.20000000000002,178
8,-82.40000000000003,176
9,-82.70000000000003,173
10,-81.80000000000001,182
11,-65.09999999999994,244
12,-82.70000000000003,173
13,-82.60000000000002,174
14,-82.70000000000003,173
15,-82.00000000000003,180
16,-81.80000000000001,182
17,-65.09999999999994,244
18,-82.20000000000002,178
19,-82.60000000000002,174
20,-82.20000000000002,178
21,-63.19999999999997,218
22,-82.70000000000003,173
23,-67.49999999999997,220
24,-81.4,186
25,-82.20000000000002,178
26,63.59999999999857,596
27,-82.40000000000003,176
28,-82.40000000000003,176
29,-82.60000000000002,174
30,-82.40000000000003,176
31,-62.59999999999996,224
32,-82.60000000000002,174
33,-82.60000000000002,174
34,-82.20000000000002,178
35,-81.80000000000001,182
36,-81.80000000000001,182
37,-49.19999999999991,258
38,-82.20000000000002,178
39,-64.09999999999991,254
40,-82.60000000000002,174
41,-82.20000000000002,178
42,-82.00000000000003,180
43,41.79999999999902,518
44,-82.60000000000002,174
45,-49.29999999999992,252
46,-82.60000000000002,174
47,-82.00000000000003,180
48,-82.20000000000002,178
49,-82.40000000000003,176
50,-82.20000000000002,178
51,-81.80000000000001,182
52,-82.40000000000003,176
53,-82.00000000000003,180
54,-62.299999999999955,227
55,-82.20000000000002,178
56,-81.80000000000001,182
57,-82.20000000000002,178
58,-82.70000000000003,173
59,-82.60000000000002,174
60,-82.20000000000002,178
61,-81.80000000000001,182
62,-82.60000000000002,174
63,-82.00000000000003,180
64,-82.40000000000003,176
65,-82.70000000000003,173
66,-62.799999999999955,227
67,-82.40000000000003,176
68,-5.900000000000674,416
69,-82.40000000000003,176
70,-82.40000000000003,176
71,-82.60000000000002,174
72,-82.20000000000002,178
73,-82.60000000000002,174
74,-82.00000000000003,180
75,-82.40000000000003,176
76,-62.59999999999996,224
77,-82.60000000000002,174
78,-81.80000000000001,182
79,-82.70000000000003,173
80,-82.20000000000002,178
81,-82.70000000000003,173
82,-82.40000000000003,176
83,-67.59999999999997,219
84,-82.60000000000002,174
85,-82.20000000000002,178
86,-82.60000000000002,174
87,-81.80000000000001,182
88,-82.60000000000002,174
89,-82.60000000000002,174
90,-82.70000000000003,173
91,-82.40000000000003,176
92,-82.20000000000002,178
93,-60.19999999999992,253
94,-82.70000000000003,173
95,-82.20000000000002,178
96,-82.70000000000003,173
97,-81.80000000000001,182
98,-82.40000000000003,176
99,-82.60000000000002,174
100,-82.60000000000002,174
101,-82.70000000000003,173
102,-82.60000000000002,174
103,-82.00000000000003,180
104,-82.40000000000003,176
105,-82.00000000000003,180
106,-46.49999999999988,280
107,-82.40000000000003,176
108,-82.20000000000002,178
109,-63.29999999999996,222
110,-82.20000000000002,178
111,-82.20000000000002,178
112,-82.60000000000002,174
113,-82.60000000000002,174
114,-82.70000000000003,173
115,-82.00000000000003,180
116,-82.20000000000002,178
117,-82.40000000000003,176
118,-82.40000000000003,176
119,-82.60000000000002,174
120,-47.299999999999876,282
121,-82.70000000000003,173
122,-82.60000000000002,174
123,-81.80000000000001,182
124,-82.00000000000003,180
125,-81.80000000000001,182
126,-82.70000000000003,173
127,-64.49999999999991,250
128,-82.60000000000002,174
129,-82.40000000000003,176
130,-82.70000000000003,173
131,-82.70000000000003,173
132,-27.60000000000005,349
133,-82.20000000000002,178
134,-61.79999999999995,232
135,-64.79999999999995,232
136,-60.49999999999992,250
137,-82.60000000000002,174
138,-82.60000000000002,174
139,-82.70000000000003,173
140,-82.20000000000002,178
141,-41.19999999999987,288
142,-82.40000000000003,176
143,-82.40000000000003,176
144,-82.70000000000003,173
145,-82.60000000000002,174
146,-39.09999999999983,314
147,-31.000000000000185,315
148,-82.20000000000002,178
149,-82.60000000000002,174
150,-81.60000000000002,184
151,-62.999999999999964,220
152,-82.60000000000002,174
153,-82.20000000000002,178
154,-81.4,186
155,-82.40000000000003,176
156,-68.29999999999998,212
157,-43.799999999999905,262
158,-24.50000000000003,350
159,-82.20000000000002,178
160,-62.09999999999995,229
161,-81.4,186
162,-68.29999999999998,212
163,-82.40000000000003,176
164,-63.19999999999997,218
165,-82.20000000000002,178
166,-82.40000000000003,176
167,-82.20000000000002,178
168,-81.80000000000001,182
169,-82.40000000000003,176
170,-82.40000000000003,176
171,-68.09999999999997,214
172,-22.400000000000077,326
173,-62.19999999999995,228
174,-82.60000000000002,174
175,-82.20000000000002,178
176,-82.20000000000002,178
177,-82.00000000000003,180
178,-82.20000000000002,178
179,-82.00000000000003,180
180,-82.60000000000002,174
181,-82.40000000000003,176
182,-61.29999999999994,237
183,-82.40000000000003,176
184,-61.89999999999995,231
185,-82.20000000000002,178
186,-82.20000000000002,178
187,-67.49999999999997,220
188,-81.4,186
189,-82.40000000000003,176
190,-82.20000000000002,178
191,-82.40000000000003,176
192,-82.20000000000002,178
193,-82.40000000000003,176
194,-81.80000000000001,182
195,-82.60000000000002,174
196,-82.60000000000002,174
197,-81.80000000000001,182
198,-81.80000000000001,182
199,-82.00000000000003,180
200,-82.40000000000003,176
201,-18.200000000000273,368
202,-82.70000000000003,173
203,-62.19999999999995,228
204,-67.29999999999995,222
205,-60.799999999999926,247
206,-25.800000000000082,337
207,-82.20000000000002,178
208,-82.40000000000003,176
209,-81.4,186
210,-82.00000000000003,180
211,-82.70000000000003,173
212,-82.40000000000003,176
213,-82.00000000000003,180
214,-82.60000000000002,174
215,-82.40000000000003,176
216,-82.20000000000002,178
217,-82.70000000000003,173
218,-41.69999999999987,288
219,-82.00000000000003,180
220,57.699999999998596,602
221,-81.80000000000001,182
222,-82.20000000000002,178
223,-82.00000000000003,180
224,-64.19999999999992,253
225,-82.40000000000003,176
226,-62.999999999999964,220
227,-42.69999999999989,273
228,-67.69999999999996,218
229,-82.60000000000002,174
230,-82.00000000000003,180
231,-82.20000000000002,178
232,-82.00000000000003,180
233,-59.599999999999916,254
234,-81.60000000000002,184
235,-46.899999999999885,276
236,-63.69999999999997,218
237,-59.39999999999991,256
238,-81.4,186
239,-82.20000000000002,178
240,-81.60000000000002,184
241,-81.4,186
242,-82.20000000000002,178
243,-81.60000000000002,184
244,-63.499999999999964,220
245,-82.00000000000003,180
246,-67.89999999999998,216
247,-82.70000000000003,173
248,-82.20000000000002,178
249,-82.40000000000003,176
250,-82.40000000000003,176
251,-64.89999999999992,246
252,-59.79999999999992,252
253,-82.20000000000002,178
254,-81.60000000000002,184
255,-17.600000000000065,374
256,-63.599999999999966,219
257,14.999999999999218,460
258,-63.19999999999997,218
259,-82.00000000000003,180
260,-82.20000000000002,178
261,-62.59999999999996,224
262,-63.19999999999997,218
263,-19.400000000000176,356
264,-41.899999999999814,326
265,22.09999999999937,471
266,-6.300000000000466,387
267,-82.70000000000003,173
268,-4.300000000000594,392
269,-82.40000000000003,176
270,-67.39999999999996,221
271,-82.40000000000003,176
272,-59.79999999999992,252
273,-64.69999999999993,248
274,-20.40000000000019,346
275,-82.00000000000003,180
276,-81.80000000000001,182
277,-22.200000000000102,328
278,-60.999999999999936,240
279,-44.39999999999991,256
280,-67.89999999999998,216
281,-82.00000000000003,180
282,-45.29999999999986,292
283,-82.60000000000002,174
284,-82.40000000000003,176
285,-61.99999999999995,230
286,-82.40000000000003,176
287,-82.20000000000002,178
288,-82.40000000000003,176
289,-82.70000000000003,173
290,-59.39999999999991,256
291,-82.00000000000003,180
292,-3.8000000000005087,362
293,-82.40000000000003,176
294,-67.49999999999997,220
295,-82.20000000000002,178
296,-21.200000000000173,338
297,37.39999999999873,554
298,-5.100000000000321,394
299,-81.60000000000002,184
300,-62.59999999999996,224
301,-19.80000000000004,352
302,-22.800000000000068,332
303,-82.70000000000003,173
304,-82.20000000000002,178
305,-82.20000000000002,178
306,-48.1999999999999,263
307,-82.00000000000003,180
308,-64.09999999999997,214
309,-82.00000000000003,180
310,-18.000000000000227,370
311,-49.299999999999876,282
312,-81.80000000000001,182
313,-82.20000000000002,178
314,-43.79999999999986,292
315,-63.499999999999964,220
316,-68.09999999999997,214
317,-24.600000000000108,334
318,-61.29999999999994,237
319,-62.399999999999956,226
320,-67.6,204
321,-81.4,186
322,30.799999999998903,533
323,-81.80000000000001,182
324,-64.19999999999992,253
325,-82.70000000000003,173
326,-82.70000000000003,173
327,-17.800000000000267,362
328,-67.39999999999996,221
329,-82.00000000000003,180
330,-64.19999999999993,238
331,-82.40000000000003,176
332,-61.99999999999995,230
333,-82.40000000000003,176
334,-82.00000000000003,180
335,-82.20000000000002,178
336,-82.40000000000003,176
337,-82.70000000000003,173
338,-49.099999999999916,254
