Episodio,Score,Passos
0,-20.700000000000074,348
0,-40.39999999999986,296
1,-82.60000000000002,174
2,-67.29999999999995,222
3,-68.29999999999998,212
4,-82.70000000000003,173
5,-82.70000000000003,173
6,-82.00000000000003,180
7,-82.20000000000002,178
8,-82.40000000000003,176
9,-82.40000000000003,176
10,-41.69999999999987,288
11,-31.5000000000001,350
12,-62.79999999999996,222
13,-82.60000000000002,174
14,-82.40000000000003,176
15,-38.39999999999983,316
16,-81.80000000000001,182
17,-82.70000000000003,173
18,-82.00000000000003,180
19,-60.699999999999925,248
20,-82.70000000000003,173
21,-82.00000000000003,180
22,-82.40000000000003,176
23,-39.09999999999983,314
24,-82.20000000000002,178
25,-82.70000000000003,173
26,171.59999999999795,856
27,-82.40000000000003,176
28,-59.79999999999992,252
29,-82.20000000000002,178
30,-82.00000000000003,180
31,-43.99999999999991,260
32,-81.80000000000001,182
33,3.6999999999993634,462
34,-21.900000000000063,356
35,20.799999999999045,458
36,-62.19999999999995,228
37,-82.00000000000003,180
38,-60.49999999999992,250
39,-81.80000000000001,182
40,-82.00000000000003,180
41,-29.700000000000088,323
42,-82.20000000000002,178
43,-82.40000000000003,176
44,-0.20000000000044338,398
45,-81.4,186
46,-53.99999999999992,250
47,-62.09999999999995,229
48,-43.099999999999895,269
49,-67.69999999999996,218
50,-82.40000000000003,176
51,-62.19999999999995,228
52,-82.70000000000003,173
53,-82.40000000000003,176
54,-81.80000000000001,182
55,-62.899999999999956,226
56,-82.20000000000002,178
57,-59.599999999999916,254
58,-82.70000000000003,173
59,-81.4,186
60,-82.70000000000003,173
61,-61.89999999999995,231
62,-82.40000000000003,176
63,-82.70000000000003,173
64,-82.40000000000003,176
65,-22.50000000000007,330
66,-60.199999999999925,248
67,20.99999999999909,470
68,-82.60000000000002,174
69,-82.20000000000002,178
70,-40.199999999999854,298
71,-22.20000000000006,328
72,-40.29999999999985,302
73,-82.00000000000003,180
74,-82.20000000000002,178
75,-45.09999999999986,294
76,-82.60000000000002,174
77,-82.70000000000003,173
78,-82.70000000000003,173
79,-18.90000000000009,366
80,-82.40000000000003,176
81,-82.60000000000002,174
82,-82.40000000000003,176
83,-67.69999999999996,218
84,-82.40000000000003,176
85,-82.40000000000003,176
86,-82.40000000000003,176
87,-82.20000000000002,178
88,-40.999999999999865,290
89,-81.80000000000001,182
90,-43.99999999999991,260
91,-82.00000000000003,180
92,-82.40000000000003,176
93,-37.49999999999981,330
94,-43.5999999999999,264
95,-82.70000000000003,173
96,-82.40000000000003,176
97,-63.99999999999997,215
98,55.29999999999882,538
99,-82.70000000000003,173
100,-60.29999999999992,252
101,-18.800000000000097,362
102,-82.20000000000002,178
103,-64.09999999999991,254
104,-82.60000000000002,174
105,-82.60000000000002,174
106,-41.899999999999814,326
107,-63.69999999999997,218
108,-82.60000000000002,174
109,-82.70000000000003,173
110,-82.60000000000002,174
111,-82.40000000000003,176
112,65.79999999999848,608
113,-82.40000000000003,176
114,-60.29999999999992,252
115,-82.60000000000002,174
116,-63.09999999999996,224
117,-81.60000000000002,184
118,61.899999999998386,594
119,-82.60000000000002,174
120,-81.60000000000002,184
121,-40.39999999999986,296
122,-62.999999999999964,220
123,-82.40000000000003,176
124,-82.60000000000002,174
125,-82.40000000000003,176
126,-82.00000000000003,180
127,-61.699999999999946,233
128,-81.80000000000001,182
129,-41.09999999999986,294
