Episodio, Passos
0,375
1,132
2,209
3,420
4,225
5,135
6,226
7,225
8,799
9,735
10,225
11,60
12,340
13,472
14,330
15,90
16,309
17,267
18,285
19,496
20,258
21,17
22,112
23,444
24,165
25,491
26,157
27,135
28,18
29,73
30,390
31,240
32,981
33,109
34,90
35,221
36,307
37,355
38,375
39,35
40,75
41,17
42,320
43,255
44,299
45,330
46,82
47,585
48,95
49,200
50,195
51,195
52,389
53,240
54,272
55,45
56,510
57,60
58,146
59,495
60,169
61,56
62,930
63,735
64,225
65,325
66,255
67,491
68,345
69,596
70,225
71,254
72,435
73,210
74,199
75,135
76,360
77,405
78,165
79,24
80,315
81,38
82,38
83,112
84,585
85,36
86,210
87,405
88,72
89,150
90,136
91,249
92,270
93,725
94,91
95,789
96,450
97,750
98,53
99,1501
100,19
101,675
102,120
103,570
104,74
105,90
106,242
107,150
108,105
109,180
110,482
111,19
112,91
113,18
114,240
115,188
116,266
117,79
118,343
119,210
120,883
121,19
122,45
123,270
124,135
125,137
126,1101
127,180
128,315
129,36
130,165
131,717
132,225
133,45
134,355
135,75
136,435
137,210
138,271
139,451
140,255
141,120
142,118
143,195
144,480
145,788
146,435
147,570
148,915
149,327
150,435
151,81
152,915
153,135
154,610
155,147
156,17
157,248
158,105
159,345
160,345
161,150
162,664
163,120
164,195
165,315
166,465
167,105
168,254
169,754
170,240
171,136
172,655
173,521
174,195
175,825
176,300
177,75
178,135
179,60
180,60
181,541
182,705
183,45
184,30
185,75
186,195
187,195
188,63
189,641
190,141
191,480
192,255
193,234
194,540
195,90
196,600
197,255
198,1402
199,146
200,89
201,1309
202,229
203,527
204,421
205,210
206,601
207,233
208,1501
209,120
210,542
211,465
212,1270
213,225
214,570
215,1501
216,45
217,162
218,555
219,60
220,375
221,30
222,75
223,90
224,610
225,285
226,690
227,75
228,181
229,449
230,220
231,402
232,252
233,630
234,495
235,75
236,244
237,850
238,165
239,276
240,510
241,497
242,58
243,310
244,1268
245,1501
246,382
247,45
248,195
249,1290
250,1501
251,186
252,513
253,1335
254,420
255,120
256,120
257,224
258,244
259,465
260,41
